ideTarifaFornecimento,nomConcessao,SigDistribuidora,SigRegiao,VlrTUSDConvencional,VlrTEConvencional,VlrTotaTRFConvencional,VlrTRFBrancaPonta,VlrTRFBrancaIntermediaria,VlrTRFBrancaForaPonta,NumResolucao,DthInicioVigencia,DthProcessamento
392,Concessionária,EDP ES,SE,0.25897,0.30331,0.56228,1.02399,0.66683,0.48432,2432/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
393,Concessionária,EDP SP,SE,0.24174,0.31979,0.56153,0.94562,0.60625,0.44867,2469/2018,01/10/2018 00:00:00,26/07/2019 00:00:00
394,Concessionária,EFLJC,S ,0.32304,0.33447,0.65751,1.32377,0.83033,0.53960,2441/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
395,Concessionária,Eflul,S ,0.32424,0.34907,0.67331,1.30871,0.82525,0.54684,2443/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
396,Concessionária,Elektro,SE,0.26444,0.33735,0.60179,1.12599,0.72623,0.51186,2437/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
397,Concessionária,Eletroacre,N ,0.37134,0.22643,0.59777,1.27743,0.82115,0.50459,2523/2018,01/12/2018 00:00:00,26/07/2019 00:00:00
398,Concessionária,Eletrocar,S ,0.30413,0.23744,0.54157,1.31647,0.74629,0.40981,2574/2019,01/07/2019 00:00:00,26/07/2019 00:00:00
399,Concessionária,Eletropaulo,SE,0.25971,0.25588,0.51559,0.96054,0.61729,0.43663,2568/2019,01/07/2019 00:00:00,26/07/2019 00:00:00
400,Concessionária,ELFSM,SE,0.31354,0.30214,0.61568,1.25655,0.79583,0.51909,2435/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
401,Concessionária,EMG,SE,0.31584,0.27999,0.59583,1.13978,0.72337,0.48840,2561/2019,01/06/2019 00:00:00,26/07/2019 00:00:00
402,Concessionária,EMS ,CO,0.34295,0.26570,0.60865,1.15513,0.73764,0.48850,2525/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
403,Concessionária,EMT,CO,0.34736,0.27948,0.62684,1.26137,0.80254,0.52239,2527/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
404,Concessionária,Enel CE,NE,0.27362,0.25587,0.52949,1.11429,0.69827,0.44462,2530/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
405,Concessionária,Enel RJ,SE,0.39732,0.27090,0.66822,1.24604,0.81014,0.53901,2523/2019,01/03/2019 00:00:00,26/07/2019 00:00:00
406,Concessionária,ENF,SE,0.35768,0.29221,0.64989,1.25885,0.78921,0.51033,2560/2019,01/06/2019 00:00:00,26/07/2019 00:00:00
407,Concessionária,EPB,NE,0.30234,0.26943,0.57177,1.21364,0.76035,0.46899,2439/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
408,Concessionária,ESE,NE,0.28487,0.24585,0.53072,1.11442,0.69395,0.42959,2531/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
409,Concessionária,ETO,N ,0.35806,0.24202,0.60008,1.34534,0.83096,0.47858,2567/2019,01/07/2019 00:00:00,26/07/2019 00:00:00
410,Concessionária,Forcel,S ,0.36181,0.22110,0.58291,1.15383,0.73652,0.43354,2442/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
411,Concessionária,Hidropan,S ,0.30626,0.29448,0.60074,1.28525,0.73859,0.42551,2572/2019,01/07/2019 00:00:00,26/07/2019 00:00:00
412,Concessionária,Ienergia,S ,0.22318,0.29142,0.51460,0.92013,0.59284,0.44002,2445/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
413,Concessionária,Light,SE,0.34197,0.28368,0.62565,1.14742,0.76401,0.55166,2523/2019,01/03/2019 00:00:00,26/07/2019 00:00:00
414,Concessionária,MuxEnergia,S ,0.28090,0.20432,0.48522,0.88900,0.56734,0.37386,2571/2019,01/07/2019 00:00:00,26/07/2019 00:00:00
415,Concessionária,RGE,S ,0.29026,0.27001,0.56027,0.99421,0.63862,0.45351,2557/2019,01/06/2019 00:00:00,26/07/2019 00:00:00
416,Concessionária,Sul Sudeste,SE,0.25299,0.24436,0.49735,0.89097,0.57105,0.40964,2570/2019,01/07/2019 00:00:00,26/07/2019 00:00:00
417,Concessionária,Sulgipe,NE,0.37035,0.26596,0.63631,1.33785,0.83393,0.50172,2546/2019,01/05/2019 00:00:00,26/07/2019 00:00:00
418,Concessionária,Uhenpal,S ,0.34919,0.22330,0.57249,1.13015,0.71862,0.44416,2547/2019,01/05/2019 00:00:00,26/07/2019 00:00:00
