"","Ano","Órgão Orçamentário","Função","Unidade Orçamentária","Programa","Ação","Localizador","Plano Orçamentário","Grupo de Despesa","Modalidade de Aplicação","Resultado Primário","Fonte","Subfunção","Projeto de Lei","Dotação Inicial","Dotação Atual","Empenhado","Liquidado","Pago"
"23",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2460 - Manutenção e Atualização da Infra-estrutura Espacial","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,1566550,1535732,1535732,936.437
"24",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2460 - Manutenção e Atualização da Infra-estrutura Espacial","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","571 - Desenvolvimento Científico",1615000,1566550,0,0,0,0
"25",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","05 - Defesa Nacional","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","3704 - Implantação de Infra-Estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0003 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","72 - Execução Orçamentária Delegada a Consórcios Públicos (44)(I)","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,132.819,132.819,132.819,132.819
"26",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","05 - Defesa Nacional","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","3704 - Implantação de Infra-Estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0003 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",7039600,6546828,6414009,3765353,3765353,3086536
"27",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","05 - Defesa Nacional","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","3704 - Implantação de Infra-Estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0003 - Nacional","[valor não detalhado]","4 - Investimentos","72 - Execução Orçamentária Delegada a Consórcios Públicos (44)(I)","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,14.624,14.624,14.624,14.624
"28",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","05 - Defesa Nacional","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","3704 - Implantação de Infra-Estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0003 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",10559400,10559400,10154776,8872251,8872251,7246606
"29",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","1271 - Estudo de Viabilidade da Industrialização de Veículos Lançadores","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","662 - Produção Industrial",195.72,183.977,0,0,0,0
"30",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","1339 - Capacitação de Recursos Humanos para a Área Espacial","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","128 - Formação de Recursos Humanos",1400000,1316000,966,804.23,804.23,669.707
"31",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","1398 - Desenvolvimento de Satélites de Coleta de Dados e Sensoriamento Remoto","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",5871150,5460170,5583147,4759913,4759913,4739701
"32",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","1398 - Desenvolvimento de Satélites de Coleta de Dados e Sensoriamento Remoto","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",122.977,122.977,0,0,0,0
