"","Função","Programa","Grupo.de.Despesa","Modalidade.de.Aplicação","Resultado.Primário","Projeto.de.Lei","Dotação.Inicial","Dotação.Atual","Empenhado","Liquidado","Pago"
"556","19","0464","4","90","2",4450000,4450000,2850000,648.987,218.753,218.753
"557","19","0464","3","90","2",14547106,14547106,14197106,12043052,6103284,5702680
"558","19","0464","4","90","2",7450000,7450000,7267000,6655296,1360542,837.864
"559","19","0464","3","90","2",2500000,2500000,2499680,1579598,532.747,532.747
"560","19","0464","3","91","2",0,0,320,280,280,280
"561","19","0464","4","90","2",600,600,600,594.954,74.716,74.716
"562","19","0464","3","90","2",8350000,8350000,8350000,8081466,5976669,5976669
"563","19","0464","4","90","2",2850000,2850000,2850000,2841160,3.898,3.898
"564","19","0464","3","50","2",1850000,1850000,1850000,1850000,1850000,1850000
"565","19","0464","4","50","2",500,500,324,323.38,323.38,323.38
"566","19","0464","3","50","2",0,0,873.37,873.37,873.37,873.37
"567","19","0464","3","90","2",1407000,1407000,357.63,303.379,303.379,303.379
"568","19","0464","4","50","2",0,0,353,353,353,353
"569","19","0464","4","90","2",353,353,0,0,0,0
"570","19","0464","3","90","2",1295000,1295000,1295000,1137781,700.279,700.279
"571","19","0464","4","90","2",1250000,1250000,1250000,1249824,783.433,783.433
"572","19","0464","3","90","2",3200000,3200000,3200000,3021882,2319709,2317773
"573","19","0464","4","90","2",1800000,1800000,1800000,1799058,397.525,397.525
"574","19","0464","3","90","2",9855000,9855000,9854470,9842282,4174575,2490319
"575","19","0464","3","91","2",0,0,530,530,0,0
"576","19","0464","4","90","2",6375000,6375000,6375000,6453379,394.041,394.041
"577","19","0464","3","90","2",2753000,2753000,2753000,2440761,1618974,759.609
"578","19","0464","4","90","2",397,397,397,129.675,5.285,5.285
"579","19","0464","3","90","2",2565000,2565000,2565000,2543929,683.515,683.515
"580","19","0464","4","90","2",4135000,4135000,3465000,2036515,5.64,5.64
"581","19","2056","3","90","2",865,865,865,287.897,235.085,234.549
"582","19","2056","4","90","2",2735000,2735000,2735000,1790749,69.002,69.002
"583","19","2056","3","90","2",850,850,850,0,0,0
"584","19","2056","4","90","2",150,150,150,0,0,0
"585","19","2056","4","50","2",0,0,2775349,2775350,2775350,2775350
"586","19","2056","4","90","2",82011455,112011455,137802591,109210945,21512584,21512094
"587","19","2056","3","90","2",500,500,500,500,350,350
"588","19","2056","4","90","2",5500000,5500000,5500000,5498695,3274028,3190618
"589","19","2056","3","90","2",200,200,200,200,0,0
"590","19","2056","3","90","2",200,200,200,200,200,200
"591","19","2056","3","90","2",26130000,25615500,7566508,7497772,6614701,6614701
"592","19","2056","3","91","2",0,0,48.992,48.993,6.355,6.355
"593","19","2056","4","90","2",10870000,10870000,32870000,21815650,10494238,10338501
"594","19","2056","3","90","2",3e+06,3e+06,3e+06,2425728,2385728,2338551
"595","19","2056","3","90","2",17488200,17124098,17124098,16476903,14727906,14727906
"596","19","2056","4","90","2",39500000,39500000,35500000,14907794,9279982,8884921
"597","19","2056","3","90","2",200,200,200,200,200,200
"598","19","2056","3","50","2",0,0,1e+06,1e+06,1e+06,1e+06
"599","19","2056","3","90","2",3e+06,3e+06,2e+06,1523986,97.5,97.5
"600","19","2056","3","90","2",3380000,3380000,3224905,1696272,1036927,1036927
"601","19","2056","3","91","2",0,0,155.095,122.269,0,0
"602","19","2056","4","90","2",620,620,620,201.198,42.597,42.597
"603","19","2056","3","90","2",200,200,200,85.63,0,0
"604","19","2056","4","90","2",0,0,3910848,0,0,0
"605","19","2056","4","90","2",0,0,1023016,0,0,0
"606","19","2056","4","90","2",0,0,5464952,0,0,0
"607","19","2056","4","90","2",0,0,18956240,0,0,0
"608","19","2056","3","90","2",2350000,2350000,2297613,1306683,1171968,1171968
"609","19","2056","3","91","2",110,110,162.387,52.387,40.519,40.519
"610","19","2056","4","90","2",1040000,1040000,1040000,593.029,245.49,245.49
"611","19","2056","3","90","2",17180814,16865222,16865222,13455247,8894693,8872156
"612","19","2056","4","90","2",7819186,7819186,7819186,3259127,1419260,1300853
"613","19","2056","3","90","2",3500000,3500000,3500000,2027393,1316347,1316347
"614","19","2056","4","90","2",1500000,1500000,1500000,533.8,262.289,262.289
"615","19","2056","3","90","2",6620000,6620000,6588087,4172886,3119822,3113231
"616","19","2056","3","91","2",0,0,31.913,31.913,0,0
