"","Função","Programa","Grupo.de.Despesa","Modalidade.de.Aplicação","Resultado.Primário","Projeto.de.Lei","Dotação.Inicial","Dotação.Atual","Empenhado","Liquidado","Pago"
"169","19","0464","4","90","2",0,500,500,461,461,158.555
"170","19","0464","3","90","2",70,70,70,70,70,45.167
"171","19","0464","4","90","2",30,30,30,30,30,30
"172","19","0464","3","50","2",0,0,0,290,290,203
"173","19","0464","3","90","2",1580000,1580000,1580000,1218675,1218675,590.404
"174","19","0464","4","90","2",100,100,100,71.501,71.501,0
"175","19","0464","3","90","2",850,850,850,551.511,551.511,126.469
"176","19","0464","4","90","2",200,200,200,180.305,180.305,32.535
"177","19","0464","3","90","2",0,960,960,960,960,511.111
"178","19","0464","4","90","2",0,100,100,100,100,86.49
"179","19","0464","3","90","2",100,375,375,350.697,350.697,207.409
"180","19","0464","4","90","2",0,100,100,100,100,27.275
"181","19","0464","3","90","2",0,885,885,884.834,884.834,709.001
"182","19","0464","4","90","2",0,100,100,100,100,0
"183","19","0464","3","90","2",16450000,15956500,15956500,15955414,15955414,15707599
"184","19","0464","4","90","2",1050000,1050000,1050000,1049147,1049147,0
"185","19","0464","3","90","2",19978000,19385560,13985560,13903587,13903587,3915797
"186","19","0464","4","90","2",1e+07,8500000,8500000,8629483,8629483,2192347
"187","19","0464","3","90","2",1013000,1013000,1013000,1011778,1011778,543.179
"188","19","0464","3","90","2",0,4785000,4785000,4784267,4784267,4379601
"189","19","0464","4","90","2",0,1e+06,1e+06,1e+06,1e+06,948.624
"190","19","0464","3","90","2",1050000,1050000,11950000,11950000,11950000,11950000
"191","19","0464","3","90","2",577,577,577,564.509,564.509,123.89
"192","19","0464","4","90","2",380,380,380,379.497,379.497,10.501
"193","19","0464","3","90","2",2300000,2300000,0,0,0,0
"194","19","0464","4","90","2",7729000,6569650,0,0,0,0
"195","19","0464","3","90","2",500,500,500,495.473,495.473,262.711
"196","19","0464","4","90","2",500,500,500,496.979,496.979,269.385
"197","19","0464","3","50","2",1443000,1395595,1395595,1200000,1200000,650
"198","19","0464","4","50","2",507,507,402.214,300,300,0
"199","19","0464","4","90","2",0,0,104.786,104.786,104.786,104.786
"200","19","0464","3","90","2",500,500,500,0,0,0
"203","19","0464","4","90","2",1350000,1350000,1350000,1350000,1350000,1350000
"204","19","0464","3","90","2",56.952,56.952,56.952,23.769,23.769,23.769
"205","19","0464","3","90","2",6.5,6.5,6.5,3.681,3.681,3.681
"206","19","0464","3","90","1",56,56,56,35.971,35.971,35.971
"207","19","0464","3","90","1",114,114,114,93.19,93.19,93.19
"208","19","0464","3","90","2",4000001,3791224,3745039,3745036,3745036,3217087
"209","19","0464","3","91","2",0,0,46.185,46.186,46.186,46.186
"210","19","0464","4","90","2",1810000,1810000,1810000,1807348,1807348,725.823
"213","19","0464","3","50","2",120,116.058,282.911,282.333,282.333,282.333
"214","19","0464","3","80","2",0,0,20,20,20,20
"215","19","0464","3","90","2",5325048,5047112,4690843,4475031,4475031,4170763
"216","19","0464","3","91","2",0,0,169.416,168.093,168.093,160.644
"217","19","0464","4","90","2",500,500,500,498.108,498.108,456.138
"218","19","0464","3","50","2",0,0,265,265,265,265
"219","19","0464","3","90","2",5600000,5307712,5042712,5042709,5042709,3423690
"220","19","0464","4","90","2",2600000,2600000,2600000,2514080,2514080,603.289
"221","19","0464","3","90","2",1088000,1052258,1052208,1052208,1052208,481.409
"222","19","0464","3","91","2",0,0,50,50,50,50
"223","19","0464","4","90","2",2272000,2272000,2272000,2272000,2272000,1499741
"224","19","0464","3","90","2",100,100,112,111.337,111.337,111.337
"225","19","0464","3","90","2",52784447,50029398,49974569,49969995,49969995,33646293
"226","19","0464","3","91","2",0,0,54.829,54.629,54.629,29.744
"227","19","0464","4","90","2",32338563,28457936,28457936,28456277,28456277,19637099
"228","19","0464","3","50","2",0,0,2639028,0,0,0
"229","19","0464","3","90","2",5e+06,4739028,100,65.735,65.735,27.515
"230","19","0464","3","90","2",1990363,1924977,1924977,1473430,1473430,184.47
"231","19","0464","4","90","2",20409637,43060481,42260481,32756416,32756416,3184108
"232","19","0464","3","90","2",3691129,3498474,3463153,3462143,3462143,2398313
"233","19","0464","3","91","2",0,0,35.321,35.321,35.321,30.454
"234","19","0464","4","90","2",1450000,1450000,1450000,1449825,1449825,396.549
"235","19","0464","3","90","2",2900861,2749453,2729753,2729750,2729750,2247533
"236","19","0464","3","91","2",0,0,19.7,19.7,19.7,19.7
"237","19","0464","4","90","2",2065000,2065000,2065000,2065000,2065000,1273000
"238","19","0464","3","50","2",0,0,60,60,60,0
"239","19","0464","3","90","2",1580000,1528095,1459696,1459696,1459696,652.05
"240","19","0464","3","91","2",0,0,8.399,8.399,8.399,8.399
"241","19","0464","4","90","2",100,100,100,100,100,0
"242","19","0464","3","90","2",600,600,600,600,600,249.833
"243","19","0464","4","90","2",250,250,250,250,250,5.849
"244","19","0464","3","90","2",960,960,960,960,960,736.281
"245","19","0464","4","90","2",100,100,100,100,100,0
"246","19","0464","3","90","2",350,350,340.9,340.9,340.9,185.774
"247","19","0464","3","91","2",0,0,9.1,9.1,9.1,7.59
"248","19","0464","4","90","2",125,125,125,124.327,124.327,32.727
"249","19","0464","3","90","2",12500000,11847571,11847571,11846662,11846662,9069485
"250","19","0464","4","90","2",1500000,1500000,1500000,1500000,1500000,23.87
"251","19","0464","3","90","2",1.4e+07,13269279,13743403,11329586,11329586,4251235
"252","19","0464","3","91","2",0,0,37.373,37.373,37.373,36.633
"253","19","0464","4","90","2",1.4e+07,12320000,12320000,12143988,12143988,2798060
"254","19","0464","3","90","2",1600000,1547438,1545938,1535455,1535455,872.247
"255","19","0464","3","91","2",0,0,1.5,1.5,1.5,1.5
"256","19","0464","4","90","2",400,400,400,218.589,218.589,36.145
"257","19","0464","3","90","2",340,340,340,339.885,339.885,336.662
"258","19","0464","4","90","2",350,350,350,350,350,131.552
"259","19","0464","3","90","2",1e+06,967.149,0,0,0,0
"260","19","0464","3","90","2",0,0,1.9e+07,16815025,16815025,16815025
"261","19","0464","3","90","2",3e+06,2843417,2843417,1465588,1465588,488.661
"262","19","0464","4","90","2",6700000,5896000,5896000,5805594,5805594,591.303
"263","19","0464","4","90","2",8875000,0,0,0,0,0
"264","19","0464","3","90","2",700,700,645.508,611.647,301.611,291.628
"265","19","0464","3","91","2",0,0,54.492,57.033,2.541,2.541
"266","19","0464","4","90","2",800,800,800,799.978,139.487,139.487
"267","19","0464","3","50","2",1500000,1500000,3780000,300,300,300
"268","19","0464","4","50","2",200,200,420,0,0,0
"269","19","0464","3","90","2",500,500,500,0,0,0
"270","19","0464","3","90","2",1.5e+07,1.5e+07,14184400,13452796,11945604,10692191
"271","19","0464","3","91","2",0,0,0,22,0,0
"272","19","0464","4","90","2",0,1e+07,2e+06,0,0,0
"274","19","0464","4","90","2",700,700,700,0,0,0
"275","19","0464","3","90","2",27.72,27.72,27.72,20.714,20.714,20.714
"276","19","0464","3","90","2",5.7,5.7,5.7,5.296,5.296,5.296
"277","19","0464","3","90","1",45.98,45.98,45.98,27.979,27.979,27.979
"278","19","0464","3","90","1",104.97,104.97,104.97,88.493,88.493,88.493
"279","19","0464","3","90","2",5e+06,5e+06,4946206,4924735,3559943,3559474
"280","19","0464","3","91","2",0,0,53.794,53.794,47.248,47.248
"281","19","0464","4","90","2",2e+06,2e+06,2e+06,1995858,1011361,1011361
"284","19","0464","3","50","2",517,517,317,76.221,76.221,76.221
"285","19","0464","3","90","2",6858622,6858622,6894037,4651218,4476045,4449996
"286","19","0464","3","91","2",0,0,164.585,120.303,112.447,112.447
"287","19","0464","4","90","2",800,800,800,577.999,481.506,481.506
"288","19","0464","3","90","2",5300000,5300000,5300000,5299599,2369386,2369386
"289","19","0464","4","90","2",2600000,2600000,6600000,6587357,708.131,708.131
"290","19","0464","3","90","2",500,500,500,457.963,82.214,82.214
"291","19","0464","3","90","2",300,300,298.41,88.714,52.957,52.957
"292","19","0464","3","91","2",0,0,1.59,1.59,640,640
"293","19","0464","3","90","2",3.1e+07,3.1e+07,36942188,36885186,31902979,31874992
"294","19","0464","3","91","2",0,0,57.812,98.746,85.355,85.355
"295","19","0464","4","90","2",58355000,58355000,56355000,56318224,24625246,24625246
"296","19","0464","3","90","2",4700000,4700000,200,0,0,0
"297","19","0464","3","90","2",5250000,5250000,5250000,5224730,1078275,1057698
"298","19","0464","4","90","2",17250000,17250000,17250000,17092303,2132189,2132189
"299","19","0464","3","90","2",1600000,1600000,1598491,1458513,978.084,978.084
"300","19","0464","3","91","2",0,0,1.509,2.229,1.959,1.959
"301","19","0464","4","90","2",500,500,500,490.727,142.113,136.713
"302","19","0464","3","90","2",4300000,4300000,4300000,3952560,2995980,2995980
"303","19","0464","4","90","2",500,500,500,490.727,440,440
"304","19","0464","3","90","2",1500000,1500000,1500000,1305350,614.283,614.283
"305","19","0464","3","91","2",0,0,0,1.65,150,150
"306","19","0464","4","90","2",100,100,100,100,10.341,10.341
"307","19","0464","3","90","2",350,350,292.69,311.393,239.755,235.26
"308","19","0464","3","91","2",0,0,57.31,5.731,3.816,3.816
"309","19","0464","4","90","2",50,50,50,50,3.5,3.5
"310","19","0464","3","90","2",2445000,2445000,2444620,2244419,1252637,1252637
"311","19","0464","3","91","2",0,0,380,380,380,380
"312","19","0464","4","90","2",200,200,200,195.572,30.171,30.171
"313","19","0464","3","90","2",2320000,2320000,2320000,2124279,1134239,1133807
"314","19","0464","3","91","2",0,0,0,1.8,1.8,1.8
"315","19","0464","4","90","2",500,500,500,482.45,242.315,242.315
"316","19","0464","3","90","2",15800000,15800000,15800000,15629034,1576325,1546883
"317","19","0464","4","90","2",12200000,10370000,10370000,10287320,659.377,623.577
"318","19","0464","3","90","2",2262000,2262000,2262000,2249213,1075351,1035160
"319","19","0464","4","90","2",400,400,400,399.173,0,0
"320","19","0464","3","90","2",5050000,5050000,5050000,5036180,518.653,278.243
"321","19","0464","4","90","2",6493000,5519050,5519050,5404463,123.185,123.185
"322","19","0464","3","90","2",398.497,398.497,398.497,398.178,268.936,248.155
"323","19","0464","3","91","2",0,0,0,1.46,1.46,1.46
"324","19","0464","4","90","2",521.111,521.111,521.111,503.294,380.715,380.715
"325","19","0464","3","90","2",200,200,200,0,0,0
"327","19","0464","3","90","2",1500000,1500000,1485790,1480386,886.711,886.711
"328","19","0464","3","91","2",0,0,14.21,14.21,14.21,14.21
"329","19","0464","3","90","2",1e+06,1e+06,1e+06,999.271,396.064,396.064
"330","19","0464","3","90","2",1e+06,1e+06,1e+06,1e+06,756.376,753.487
"331","19","0464","3","50","2",0,0,0,100,0,0
"332","19","0464","3","90","2",1.2e+07,10800000,10800000,10682258,8973914,8966608
"333","19","0464","3","90","2",28253000,25427700,24315990,24306795,20583811,20338312
"334","19","0464","3","91","2",0,0,111.71,120.427,95.49,95.49
"335","19","0464","4","90","2",41480430,22853086,22853086,22852965,19577032,19577032
"336","19","0464","3","90","2",2e+06,2e+06,2e+06,1755860,1040697,1039157
"337","19","0464","3","91","2",0,0,0,238,0,0
"338","19","0464","4","90","2",1e+07,5200000,5200000,5200000,4300499,4300499
"339","19","0464","3","90","2",0,0,270,0,0,0
"340","19","0464","4","50","2",0,0,0,38740000,0,0
"341","19","0464","4","90","2",0,0,2e+07,1107760,0,0
"342","19","0464","4","91","2",0,0,2e+07,0,0,0
"343","19","0464","3","90","2",23.769,23.769,26.769,25.741,25.741,25.741
"344","19","0464","3","90","2",4.389,4.389,5.705,5.542,5.542,5.542
"345","19","0464","3","90","1",41.203,41.203,36.887,22.499,22.499,22.499
"346","19","0464","3","90","1",93.305,93.305,93.305,88.352,88.352,88.352
"347","19","0464","3","90","2",1500000,1500000,1499270,1496352,1328894,1326302
"348","19","0464","3","91","2",0,0,730,3.33,730,730
"349","19","0464","4","90","2",1e+06,1e+06,1e+06,999.836,903.586,854.206
"353","19","0464","3","50","2",500,450,450,1706829,182.429,182.429
"354","19","0464","3","90","2",6248648,5623784,5569192,3713696,3319645,3319645
"355","19","0464","3","91","2",0,0,54.592,52.494,38.451,38.451
"356","19","0464","4","50","2",0,0,0,500,0,0
"357","19","0464","4","90","2",1e+06,1e+06,1e+06,299.008,18.163,18.163
"358","19","0464","3","90","2",9611947,8650753,8650753,8649887,3401743,3382667
"359","19","0464","4","90","2",8283761,5591821,5591821,5537314,1278250,1278250
"360","19","0464","3","90","2",378,378,108,81.062,31.062,31.062
"361","19","0464","3","90","2",2145302,2145302,2145302,2145302,0,0
"362","19","0464","4","90","2",6900219,4658164,4658164,4658164,0,0
"363","19","0464","3","90","2",1600000,1600000,1598800,1594307,1024332,1021993
"364","19","0464","3","91","2",0,0,1.2,5.424,3.564,3.564
"365","19","0464","4","90","2",500,500,500,499.916,329.941,329.941
"366","19","0464","3","90","2",6650000,5985000,5985000,5917548,4884226,4876465
"367","19","0464","3","91","2",0,0,0,50.54,540,540
"368","19","0464","4","90","2",1050000,787.5,787.5,787.445,723.384,723.384
"369","19","0464","3","50","2",1660000,1660000,1630000,1630000,1630000,1630000
"370","19","0464","3","90","2",0,0,30,30,14.505,14.505
"371","19","0464","4","50","2",690,690,270,270,270,270
"372","19","0464","4","90","2",0,0,420,420,71.714,63.754
"373","19","0464","3","90","2",1660000,1660000,1660000,1659993,1582149,1582149
"374","19","0464","4","90","2",100,100,100,99.598,6.295,6.295
"375","19","0464","3","90","2",2445000,2445000,2445000,2444451,2067319,2046587
"376","19","0464","4","90","2",250,250,250,249.595,198.767,198.767
"377","19","0464","3","90","2",3820000,3438000,3438000,3437728,3136602,3108001
"378","19","0464","4","90","2",1e+06,1e+06,1e+06,997.137,209.715,178.504
"379","19","0464","3","90","2",26340059,23706054,18506054,18273847,2265871,2070523
"380","19","0464","4","90","2",9291086,6272314,6272314,6715274,290.394,290.394
"381","19","0464","3","90","2",2911074,2911074,2691074,1680216,291.191,125.35
"382","19","0464","4","90","2",592.327,592.327,592.327,464.536,21.657,21.657
"383","19","0464","3","90","2",5913636,5322273,4722273,4221211,782.743,718.124
"384","19","0464","4","90","2",7833827,5288370,3868370,3300997,79.777,79.777
"385","19","0464","3","90","2",400,400,400,307.306,240.516,240.516
"386","19","0464","3","91","2",0,0,0,1.46,1.46,1.46
"387","19","0464","4","90","2",500,500,500,499.95,139.402,139.402
"388","19","0464","3","90","2",200,200,200,0,0,0
"389","19","0464","4","30","2",0,0,0,3e+07,0,0
"390","19","0464","4","90","2",0,4e+07,4e+07,39135250,6051881,6027256
"391","19","0464","4","90","2",0,0,6e+07,23546684,0,0
"393","19","0464","3","90","2",2e+06,1500000,1500000,1493803,1276876,1265544
"394","19","0464","3","91","2",0,0,0,6,3.74,3.74
"395","19","0464","4","90","2",1e+06,1e+06,1e+06,1e+06,992.133,992.133
"396","19","0464","3","90","2",2e+06,1e+06,1e+06,998.176,929.593,929.593
"397","19","0464","3","91","2",0,0,0,1.764,0,0
"398","19","0464","4","90","2",1e+06,1e+06,1e+06,999.999,754.578,754.578
"399","19","0464","3","90","2",9e+06,1e+06,1e+06,999.937,999.937,999.937
"400","19","0464","4","90","2",6e+06,6e+06,6e+06,6e+06,5991940,5991940
"401","19","0464","3","90","2",3.4e+07,10800000,24800000,24782556,23613670,23608647
"402","19","0464","3","91","2",0,0,0,17.368,5.224,5.224
"403","19","0464","4","90","2",6e+06,6e+06,6e+06,5999999,5317713,5317713
"404","19","0464","3","50","2",0,0,0,135.8,135.8,135.8
"405","19","0464","3","90","2",2.9e+07,25427700,28999700,28780490,23781656,23770592
"406","19","0464","3","91","2",0,0,0,77.124,63.992,63.992
"407","19","0464","4","90","2",39400000,27999139,27999139,27999139,27719588,27719588
"408","19","0464","3","90","2",1e+06,1e+06,1e+06,999.685,740.314,740.314
"409","19","0464","4","90","2",6e+06,6e+06,6e+06,5999999,5865136,5865136
"410","19","0464","3","90","1",0,0,1,0,0,0
"411","19","0464","3","90","2",2e+07,0,0,0,0,0
"412","19","0464","4","90","2",2e+07,0,0,0,0,0
"413","19","0464","3","90","1",26.149,26.149,26.149,23.72,23.72,23.72
"414","19","0464","3","90","1",7.918,7.918,7.918,6.973,6.973,6.973
"415","19","0464","3","90","1",31.46,31.46,31.46,22.751,22.751,22.751
"416","19","0464","3","90","1",101.64,101.64,101.64,91.414,91.414,91.414
"417","19","0464","3","90","2",2e+06,1500000,1500000,1440870,780.936,780.936
"418","19","0464","3","91","2",0,0,0,59.13,56.698,56.698
"419","19","0464","4","90","2",1e+06,1e+06,1e+06,1e+06,894.221,894.221
"422","19","0464","3","50","2",0,0,0,279.448,215.128,215.128
"423","19","0464","3","90","2",7868195,6073784,6073784,5693782,3603445,3603445
"424","19","0464","3","91","2",0,0,0,51.465,49.74,49.74
"425","19","0464","4","90","2",1e+06,1e+06,1e+06,999.966,86.13,86.13
"426","19","0464","3","90","2",13962229,8650753,8650753,8567842,4317747,4228981
"427","19","0464","3","91","2",0,0,0,90,0,0
"428","19","0464","4","90","2",13179000,9034082,9034082,7054611,1473481,1473481
"429","19","0464","3","90","2",1e+06,378,378,325.889,40.39,40.39
"430","19","0464","3","90","2",1600000,1600000,1600000,1592070,871.66,871.66
"431","19","0464","3","91","2",0,0,0,2.398,1.48,1.48
"432","19","0464","4","90","2",500,500,500,499.895,315.34,315.34
"433","19","0464","3","90","2",6650000,5985000,5985000,5976177,4198634,4195265
"434","19","0464","3","91","2",0,0,0,5.953,1.827,1.827
"435","19","0464","4","90","2",1050000,1050000,1050000,1050000,1050000,1050000
"436","19","0464","3","50","2",0,0,0,1660000,0,0
"437","19","0464","3","90","2",1850000,1660000,1660000,0,0,0
"438","19","0464","4","50","2",0,0,0,500,0,0
"439","19","0464","4","90","2",500,500,500,0,0,0
"440","19","0464","3","50","2",0,0,0,508,0,0
"441","19","0464","3","90","2",1560000,1560000,1560000,521.056,503.607,503.607
"442","19","0464","4","90","2",200,200,200,199.904,65.506,65.506
"443","19","0464","3","90","2",2295000,2295000,2295000,2292341,1881629,1881629
"444","19","0464","4","90","2",250,250,250,246.322,246.322,246.322
"445","19","0464","3","90","2",3820000,3438000,3438000,3408539,2829710,2829710
"446","19","0464","3","91","2",0,0,0,29.444,18.335,18.335
"447","19","0464","4","90","2",750,750,750,749.261,671.246,671.246
"448","19","0464","3","90","2",27200000,23706054,23706054,21196883,3693285,3693285
"449","19","0464","3","91","2",0,0,0,1.275,0,0
"450","19","0464","4","90","2",8e+06,8e+06,8e+06,6750642,1124091,1124091
"451","19","0464","3","90","2",3e+06,2911074,2911074,1398137,178.054,174.332
"452","19","0464","4","90","2",500,500,500,286.841,21.877,21.877
"453","19","0464","3","90","2",6750000,5322273,5322273,3250215,340.181,339.441
"454","19","0464","4","90","2",6250000,6250000,6250000,5466645,491.577,491.577
"455","19","0464","3","90","2",2500000,2500000,2500000,1143348,457.901,452.243
"456","19","0464","4","90","2",900,900,900,641.978,1.808,1.808
"457","19","0464","3","50","2",0,0,200,200,200,200
"458","19","0464","3","90","2",200,200,0,0,0,0
"459","19","0464","3","50","2",0,0,85,85,0,0
"460","19","0464","3","90","2",85,85,0,0,0,0
"461","19","0464","4","50","2",0,0,2237027,2237028,0,0
"462","19","0464","4","90","2",39615000,38915000,32777973,31378295,2112854,2112854
"465","19","0464","3","90","2",3e+06,3e+06,3e+06,2999962,2186437,2186437
"466","19","0464","4","90","2",2e+06,2e+06,2e+06,1999374,799.923,799.923
"467","19","0464","3","90","2",400,400,400,399.838,235.335,235.335
"468","19","0464","4","90","2",1600000,1600000,1600000,1599749,0,0
"469","19","0464","3","90","2",5030000,5030000,5030000,5030000,3065485,3065485
"470","19","0464","4","90","2",3540000,3540000,3540000,3538359,2612060,2612060
"471","19","0464","3","90","2",24200000,24200000,24134000,24133144,16353981,16353981
"472","19","0464","3","91","2",0,0,66,66,66,66
"473","19","0464","4","90","2",15800000,15800000,15800000,15794681,148.969,148.969
"474","19","0464","3","90","2",1.9e+07,1.9e+07,18965171,18965171,15928101,15928101
"475","19","0464","3","91","2",0,0,34.829,34.829,34.829,34.829
"476","19","0464","4","90","2",49400000,48700000,48700000,48700000,24438830,24393480
"477","19","0464","3","90","2",900,900,880.88,871.793,292.974,292.974
"478","19","0464","3","91","2",0,0,19.12,19.12,11.096,11.096
"479","19","0464","4","90","2",6100000,6100000,6100000,6037273,3582372,3582372
"480","19","0464","3","90","2",1e+06,1e+06,1e+06,447,447,447
"481","19","0464","3","90","1",5.418,5.418,5.418,4.251,4.251,4.251
"482","19","0464","3","90","1",28.56,28.56,47.62,42.337,42.337,42.337
"483","19","0464","3","90","1",7.98,7.98,7.98,7.363,7.363,7.363
"484","19","0464","3","90","1",21.6,21.6,23.704,21.789,21.789,21.789
"485","19","0464","3","90","1",83.592,83.592,178.295,174.495,174.495,174.495
"486","19","0464","3","90","2",2460000,2460000,2397356,2396792,1192964,1192964
"487","19","0464","3","91","2",0,0,62.644,62.645,62.645,62.645
"488","19","0464","4","90","2",1040000,1040000,1040000,1039431,224.512,224.512
"491","19","0464","3","50","2",0,0,6828832,6828832,3652832,3652832
"492","19","0464","3","90","2",8068195,8068195,4406766,4307859,3935945,3935945
"493","19","0464","3","91","2",0,0,32.597,32.097,25.653,25.653
"494","19","0464","4","90","2",1800000,1800000,1800000,518.28,517.684,517.684
"495","19","0464","3","90","2",16216229,16216229,14016229,12962110,5770764,5770494
"496","19","0464","4","90","2",8225000,8225000,8225000,8101267,779.654,778.754
"497","19","0464","3","90","2",2500000,2500000,2466560,2458499,614.765,614.765
"498","19","0464","3","91","2",0,0,33.44,33.44,8.951,8.951
"499","19","0464","4","90","2",600,600,600,599.348,132.581,97.581
"500","19","0464","3","90","2",8350000,8350000,8349879,8349639,5340944,5340944
"501","19","0464","3","91","2",0,0,121,121,121,121
"502","19","0464","4","90","2",2850000,2850000,2850000,2849684,1748142,1738142
"503","19","0464","3","50","2",1850000,1850000,1840000,1840000,1701000,1701000
"504","19","0464","3","90","2",0,0,10,0,0,0
"505","19","0464","4","50","2",500,500,500,500,500,500
"506","19","0464","3","50","2",0,0,1046000,1046000,1046000,1046000
"507","19","0464","3","90","2",1407000,1407000,361,354.408,354.408,354.408
"508","19","0464","4","50","2",0,0,353,353,353,353
"509","19","0464","4","90","2",353,353,0,0,0,0
"510","19","0464","3","90","2",1295000,1295000,1294680,1294680,572.64,572.64
"511","19","0464","3","91","2",0,0,320,320,320,320
"512","19","0464","4","90","2",1250000,1250000,1250000,1249054,371.126,301.826
"513","19","0464","3","90","2",3200000,3200000,3196304,3175482,1209485,1209485
"514","19","0464","3","91","2",0,0,3.696,3.696,2.16,2.16
"515","19","0464","4","90","2",1800000,1800000,1800000,1782199,416.224,406.224
"516","19","0464","3","90","2",27600000,27600000,27598633,23553400,2521937,2361937
"517","19","0464","3","91","2",0,0,1.367,1.367,277,277
"518","19","0464","4","90","2",7100000,7100000,5100000,3559578,516.579,488.654
"519","19","0464","3","90","2",3e+06,3e+06,3e+06,1830310,636.519,624.306
"520","19","0464","4","90","2",500,500,500,0,0,0
"521","19","0464","3","90","2",5050000,5050000,4297500,2452738,1331062,1331062
"522","19","0464","4","90","2",7950000,7950000,7402500,4211280,508.964,497.4
"523","19","0464","4","90","2",3400000,3400000,3060000,1626494,445.578,445.578
"524","19","0464","3","50","2",0,0,200,200,200,200
"525","19","0464","3","90","2",200,200,0,0,0,0
"526","19","0464","4","50","2",0,0,7470318,7470318,6250760,6250760
"527","19","0464","4","90","2",39700000,39700000,32229682,32218533,21505770,21397809
"529","19","0464","4","90","2",9270000,9270000,9270000,9210792,4764009,2870916
"530","19","0464","4","90","2",2e+06,2e+06,2e+06,2e+06,0,0
"531","19","0464","4","90","2",4e+06,4e+06,3600000,3600000,0,0
"532","19","0464","3","90","2",0,27600000,24575143,24506537,10729053,10706270
"533","19","0464","3","91","2",0,0,169.156,169.155,4.449,4.449
"534","19","0464","4","90","2",4e+07,12400000,12400000,12400000,7104958,6218438
"535","19","0464","3","90","2",0,1.5e+07,14969387,14859474,8528351,8528351
"536","19","0464","3","91","2",0,0,30.613,30.613,0,0
"537","19","0464","4","90","2",6e+07,4.5e+07,3.9e+07,37378000,14261911,12613547
"538","19","0464","3","90","2",0,5100000,5087267,4185154,1494763,1494763
"539","19","0464","3","91","2",0,0,12.733,12.733,0,0
"540","19","0464","4","90","2",15700000,10600000,9030000,7543838,935.009,470.987
"541","19","0464","4","90","2",500,500,450,0,0,0
"542","19","0464","3","90","2",1e+06,1e+06,900,100,0,0
"543","19","0464","3","90","1",5.418,5.418,5.418,0,0,0
"544","19","0464","3","90","1",47.532,47.532,47.532,44.193,44.193,44.193
"545","19","0464","3","90","1",7.356,7.356,8.356,7.975,7.975,7.975
"546","19","0464","3","90","1",21.708,21.708,28.708,21.371,21.371,21.371
"547","19","0464","3","90","1",172.944,172.944,178.944,176.596,176.596,176.596
"548","19","0464","3","90","2",2460000,2460000,2378891,1578974,673.991,291.804
"549","19","0464","3","91","2",0,0,81.109,81.109,3.976,3.976
"550","19","0464","4","90","2",1040000,1040000,1040000,1039760,38.922,38.922
"553","19","0464","3","50","2",0,0,341,341,341,341
"554","19","0464","3","90","2",12482318,12482318,11641318,11615959,6902887,6902887
"555","19","0464","3","91","2",0,0,0,13.631,9.581,9.581
