"CO_MES";"SG_UF_NCM";"N_PRODUTOS";"N_PAIS";"N_VIAS";"N_URF";"KG_LIQUIDO";"VL_FOB"
9;"AC";36;14;4;10;2342983;2038585
9;"AL";19;31;4;13;32823543;13424978
9;"AM";313;61;5;17;10294541;73891402
9;"AP";8;12;4;6;42417137;15327793
9;"BA";436;94;6;35;932502085;795218343
9;"CE";312;78;5;26;158601588;134085824
9;"DF";147;33;5;13;14826622;14847828
9;"ES";683;102;5;24;3746796470;1035330328
9;"GO";275;112;5;25;1103033392;609643305
9;"MA";123;40;4;7;652120429;332033634
9;"MG";1379;145;7;36;13564635643;1943408944
9;"MS";252;81;6;21;959697378;392294372
9;"MT";170;97;5;23;3630752252;1112842933
9;"ND";79;39;6;29;318279865;138017247
9;"PA";183;86;6;22;18036323574;1274161349
9;"PB";38;27;4;14;3799220;8886834
9;"PE";350;72;6;24;56691223;96915912
9;"PI";15;16;4;10;121698364;50474158
9;"PR";1957;165;8;36;2145262324;1406605209
9;"RE";122;3;2;7;9672;485894
9;"RJ";1442;110;7;31;6714822040;2897782202
9;"RN";67;43;5;19;23399959;21955530
9;"RO";71;59;6;18;116850031;97628121
9;"RR";61;6;4;6;947573;1371809
9;"RS";1991;171;7;34;1881473371;1319110015
9;"SC";2011;173;7;36;976233370;825359243
9;"SE";21;25;4;12;2559945;5829180
9;"SP";4206;196;6;57;4504351039;4517512064
9;"TO";19;37;4;11;120843107;50720922
10;"AC";47;10;3;8;2887922;2153371
10;"AL";157;34;4;10;3444876;1616128
10;"AM";457;64;5;17;9800619;79678574
10;"AP";9;12;4;5;98244059;46627917
10;"BA";436;94;6;33;1083073676;797522930
10;"CE";441;83;6;25;508710676;328323238
10;"DF";84;28;6;11;28212359;18280907
10;"ES";853;101;5;23;3790136799;912471988
10;"GO";274;107;7;29;902938831;567328401
10;"MA";244;37;4;7;954156219;429554836
10;"MG";1484;147;8;38;15626727771;2251361812
10;"MS";244;84;7;20;1046037015;396405486
10;"MT";98;97;5;27;3298475668;1109199402
10;"ND";30;26;4;15;439356603;179768725
10;"PA";369;98;6;25;20241039667;1446468262
10;"PB";32;37;4;16;2646988;7222480
10;"PE";344;67;5;27;98591951;133922640
10;"PI";16;18;3;8;208396688;84265990
10;"PR";2193;168;7;39;2484006274;1596067812
