"CO_MES";"SG_UF_MUN";"N_PRODUTOS";"N_PAIS";"N_MUNICIPIOS";"KG_LIQUIDO";"VL_FOB"
12;"PA";206;95;50;18322133767;1353364162
12;"PB";31;45;17;4894180;10911532
12;"PE";266;75;25;427066711;277090903
12;"PI";11;15;12;148411560;60030524
12;"PR";730;162;156;2257260163;1400790181
12;"RJ";627;120;43;6948574702;2293514458
12;"RN";37;44;22;44556237;38288505
12;"RO";70;64;18;72456829;75878977
12;"RR";34;5;3;2542537;1031873
12;"RS";714;170;187;2349141480;1616540996
12;"SC";662;179;158;784421576;894598085
12;"SE";14;26;8;5939595;4695386
12;"SP";1004;200;333;4493678743;4819846741
12;"TO";18;30;21;68772246;36043487
